mzi_id,layer,arm_index,port,base_voltage,base_phase,target_phase,phase_offset,initial_voltage,mode
5,2,0,11,3.404,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.3715672471954217,inter_cali_pair_pi0_prebiased
5,2,1,7,3.658,0.0,0.0,0.0,3.658,inter_cali_pair_pi0_prebiased
6,2,0,12,3.497,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.5120654254806616,inter_cali_pair_pi0_prebiased
6,2,1,8,3.525,0.0,0.0,0.0,3.525,inter_cali_pair_pi0_prebiased
7,2,0,13,3.273,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.188727628358539,inter_cali_pair_pi0_prebiased
7,2,1,9,3.503,0.0,0.0,0.0,3.503,inter_cali_pair_pi0_prebiased
8,2,0,14,5.095,3.141592653589793,3.141592653589793,0.0,5.095,inter_cali_pair_pi0_prebiased
8,2,1,10,3.166,0.0,0.0,0.0,3.166,inter_cali_pair_pi0_prebiased
9,3,0,76,4.133,3.141592653589793,1.0471975511965976,-2.0943951023931957,3.3392109709317777,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
9,3,1,72,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
10,3,0,75,4.293,3.141592653589793,1.0471975511965976,-2.0943951023931957,3.502115091987512,inter_cali_pair_pi0_prebiased
10,3,1,71,4.193,0.0,0.0,0.0,4.193,inter_cali_pair_pi0_prebiased
11,3,0,74,4.149,3.141592653589793,1.0471975511965976,-2.0943951023931957,3.3597423916166687,inter_cali_pair_pi0_prebiased
11,3,1,70,3.972,0.0,0.0,0.0,3.972,inter_cali_pair_pi0_prebiased
12,3,0,73,3.822,3.141592653589793,3.141592653589793,0.0,3.822,inter_cali_pair_pi0_prebiased
12,3,1,69,3.928,0.0,0.0,0.0,3.928,inter_cali_pair_pi0_prebiased
13,4,0,19,4.021,3.141592653589793,1.0471975511965976,-2.0943951023931957,3.193122903556309,inter_cali_pair_pi0_prebiased
13,4,1,15,4.117,0.0,0.0,0.0,4.117,inter_cali_pair_pi0_prebiased
14,4,0,20,3.872,3.141592653589793,1.0471975511965976,-2.0943951023931957,3.009662610801326,inter_cali_pair_pi0_prebiased
14,4,1,16,3.821,0.0,0.0,0.0,3.821,inter_cali_pair_pi0_prebiased
15,4,0,21,3.678,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.758616072596224,inter_cali_pair_pi0_prebiased
15,4,1,17,3.732,0.0,0.0,0.0,3.732,inter_cali_pair_pi0_prebiased
16,4,0,22,5.086,3.141592653589793,3.141592653589793,0.0,5.086,inter_cali_pair_pi0_prebiased
16,4,1,18,3.21,0.0,0.0,0.0,3.21,inter_cali_pair_pi0_prebiased
17,5,0,84,4.004,3.141592653589793,1.0471975511965976,-2.0943951023931957,3.1833320976251884,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
17,5,1,80,0.0,0.0,0.0,0.0,0.0,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
18,5,0,83,3.623,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.68111631066767,inter_cali_pair_pi0_prebiased
18,5,1,79,3.574,0.0,0.0,0.0,3.574,inter_cali_pair_pi0_prebiased
19,5,0,82,3.458,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.453898177782662,inter_cali_pair_pi0_prebiased
19,5,1,78,3.443,0.0,0.0,0.0,3.443,inter_cali_pair_pi0_prebiased
20,5,0,81,3.345,3.141592653589793,3.141592653589793,0.0,3.345,inter_cali_pair_pi0_prebiased
20,5,1,77,3.469,0.0,0.0,0.0,3.469,inter_cali_pair_pi0_prebiased
21,6,0,27,3.371,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.2874974442288334,inter_cali_pair_pi0_prebiased
21,6,1,23,3.725,0.0,0.0,0.0,3.725,inter_cali_pair_pi0_prebiased
22,6,0,28,5.183,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.547285647387809,inter_cali_pair_pi0_prebiased
22,6,1,24,3.404,0.0,0.0,0.0,3.404,inter_cali_pair_pi0_prebiased
23,6,0,29,4.904,3.141592653589793,1.0471975511965976,-2.0943951023931957,4.264368414428284,inter_cali_pair_pi0_prebiased
23,6,1,25,5.038,0.0,0.0,0.0,5.038,inter_cali_pair_pi0_prebiased
24,6,0,26,4.582,3.141592653589793,3.141592653589793,0.0,4.582,inter_cali_pair_pi0_prebiased
24,6,1,30,4.693,0.0,0.0,0.0,4.693,inter_cali_pair_pi0_prebiased
